Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Protected Method,"org.apache.activemq.web.DestinationFacade.redirectToBrowseView",3,,,1,1,2,,,0
Protected Method,"org.apache.activemq.web.DestinationFacade.redirectToRequest",4,,,2,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.removeDestination",8,,,1,1,2,,,1
Public Method,"org.apache.activemq.web.DestinationFacade.setJMSDestination",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.setJMSDestinationType",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.DestinationFacade.toString",3,,,1,1,1,,,0
Public Class,"org.apache.activemq.web.SessionFilter",10,,,4,3,3,1,1,0
Public Method,"org.apache.activemq.web.SessionFilter.destroy",2,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.SessionFilter.doFilter",4,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.SessionFilter.init",2,,,1,1,1,,,0
Package,"org.apache.activemq.web.controller",193,3,,80,32,49,3,11,5
Public Class,"org.apache.activemq.web.controller.CreateDestination",9,,,3,2,2,1,1,0
Public Constructor,"org.apache.activemq.web.controller.CreateDestination.CreateDestination",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.CreateDestination.handleRequest",4,,,1,1,1,,,0
Public Class,"org.apache.activemq.web.controller.CreateSubscriber",19,,,6,4,6,1,3,1
Public Constructor,"org.apache.activemq.web.controller.CreateSubscriber.CreateSubscriber",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.CreateSubscriber.getSelector",3,,,1,1,1,,,0
Public Method,"org.apache.activemq.web.controller.CreateSubscriber.handleRequest",7,,,1,1,3,,,1
Public Method,"org.apache.activemq.web.controller.CreateSubscriber.setSelector",3,,,1,1,1,,,0
Public Class,"org.apache.activemq.web.controller.SendMessage",138,,,44,26,41,3,11,5
