Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
Protected Method,"ch.qos.logback.classic.net.SimpleSocketServer.getClientThreadName",3,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.net.SimpleSocketServer.getLatch",3,,,1,1,1,,,0
Protected Method,"ch.qos.logback.classic.net.SimpleSocketServer.getServerSocketFactory",3,,,1,1,1,,,0
Protected Method,"ch.qos.logback.classic.net.SimpleSocketServer.getServerThreadName",3,,,1,1,1,,,0
Public Method,"ch.qos.logback.classic.net.SimpleSocketServer.isClosed",3,,,1,1,1,,,0
Public Static Method,"ch.qos.logback.classic.net.SimpleSocketServer.main",3,,,1,1,1,,,0
Static Method,"ch.qos.logback.classic.net.SimpleSocketServer.parsePortNumber",9,,,1,1,2,,,1
Public Method,"ch.qos.logback.classic.net.SimpleSocketServer.run",31,,,6,1,4,,,2
Method,"ch.qos.logback.classic.net.SimpleSocketServer.setLatch",3,,,1,1,1,,,0
Method,"ch.qos.logback.classic.net.SimpleSocketServer.signalAlmostReadiness",5,,,1,1,3,,,1
Public Method,"ch.qos.logback.classic.net.SimpleSocketServer.socketNodeClosing",6,,,1,1,1,,,0
Static Method,"ch.qos.logback.classic.net.SimpleSocketServer.usage",5,,,1,1,1,,,0
Public Implicit Method,"clone",,,,,0,0,,,
Package,"com",0,0,,0,0,0,0,0,0
Package,"com.facebook",0,0,,0,0,0,0,0,0
Package,"com.facebook.buck",0,0,,0,0,0,0,0,0
Package,"com.facebook.buck.cli",225,2,,105,10,20,5,8,4
Public Class,"com.facebook.buck.cli.ParserCacheCommand",100,,,40,8,17,5,8,4
Public Method,"com.facebook.buck.cli.ParserCacheCommand.getShortDescription",3,,,1,1,1,,,0
Private Method,"com.facebook.buck.cli.ParserCacheCommand.invalidateChanges",23,,,9,1,8,,,3
Public Method,"com.facebook.buck.cli.ParserCacheCommand.isReadOnly",3,,,1,1,1,,,0
Public Method,"com.facebook.buck.cli.ParserCacheCommand.runWithoutHelp",47,,,6,5,7,,,4
Public Class,"com.facebook.buck.cli.ParserCacheCommandIntegrationTest",84,,,24,2,3,1,2,1
Public Method,"com.facebook.buck.cli.ParserCacheCommandIntegrationTest.testInvalidate",42,,,11,1,2,,,1
Public Method,"com.facebook.buck.cli.ParserCacheCommandIntegrationTest.testSaveAndLoad",37,,,9,1,1,,,0
Package,"com.fasterxml",0,0,,0,0,0,0,0,0
Package,"com.fasterxml.jackson",0,0,,0,0,0,0,0,0
Package,"com.fasterxml.jackson.dataformat",0,0,,0,0,0,0,0,0
Package,"com.fasterxml.jackson.dataformat.xml",486,1,,143,88,114,25,27,5
Public Class,"com.fasterxml.jackson.dataformat.xml.XmlFactory",473,,,130,88,114,25,27,5
Public Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",1,,,1,1,1,,,0
Public Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",3,,,1,1,1,,,0
Public Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",3,,,1,1,1,,,0
Public Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",3,,,1,1,1,,,0
Public Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",5,,,1,1,1,,,0
Protected Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",19,,,3,1,3,,,1
Protected Constructor,"com.fasterxml.jackson.dataformat.xml.XmlFactory.XmlFactory",9,,,1,1,1,,,0
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createGenerator",4,,,1,1,1,,,0
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser",16,,,4,1,3,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser",16,,,4,1,3,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser",17,,,5,1,3,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createParser",16,,,4,1,3,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createXmlWriter",8,,,1,1,2,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._createXmlWriter",8,,,1,1,2,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._initFactories",5,,,1,1,1,,,0
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlReader",7,,,1,1,2,,,1
Protected Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory._initializeXmlWriter",5,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.canUseCharArrays",1,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.configure",17,,,2,2,4,,,2
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.copy",4,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator",8,,,2,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator",6,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator",8,,,3,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createGenerator",11,,,2,1,2,,,1
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser",8,,,3,1,2,,,1
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.createParser",16,,,3,3,4,,,2
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.disable",8,,,2,2,2,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.enable",8,,,2,2,2,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatName",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatReadFeatureType",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getFormatWriteFeatureType",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLInputFactory",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLOutputFactory",3,,,1,1,1,,,0
Public Method,"com.fasterxml.jackson.dataformat.xml.XmlFactory.getXMLTextElementName",3,,,1,1,1,,,0
