@relation software_metrics_vpm

@attribute Kind string
@attribute Name string
@attribute CountLineCode numeric
@attribute CountDeclClass numeric
@attribute CountDeclFunction numeric
@attribute CountLineCodeDecl numeric
@attribute SumEssential numeric
@attribute SumCyclomaticStrict numeric
@attribute MaxEssential numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute class {pos,neg}

@data
File,"ApplicationServletRegistration.java",156,1,15,62,17,35,3,7,3,pos
File,"ApprovalsAdminEndpoints.java",186,1,14,92,18,34,3,8,3,pos
File,"ApprovalsAdminEndpoints.java",189,1,14,94,18,36,3,10,2,pos
File,"ApprovalsAdminEndpointsTests.java",277,2,13,79,13,13,1,1,0,pos
File,"ApprovalsMockMvcTests.java",171,1,8,67,8,8,1,1,0,pos
File,"ApprovalsMockMvcTests.java",139,1,6,60,6,6,1,1,0,pos
File,"ApprovalsMockMvcTests.java",275,1,14,115,14,25,1,6,1,pos
File,"AprEndpoint.java",1174,11,86,281,124,328,11,51,7,pos
File,"AprEndpoint.java",902,8,111,266,140,269,9,31,6,pos
File,"Archive.java",395,2,24,119,35,74,10,26,4,pos
File,"ArchiveUtils.java",119,1,4,46,7,20,4,14,5,pos
File,"ArrayUtils.java",9,1,2,4,2,3,1,2,0,pos
File,"ArtifactArchiverTest.java",271,9,19,122,19,22,1,2,1,pos
File,"Ascii.java",45,1,3,13,3,9,1,7,2,pos
File,"AsciiString.java",57,1,11,24,15,22,5,8,2,pos
File,"AsyncContextImpl.java",474,4,29,151,29,74,1,9,4,pos
File,"AsyncHttpClientConfig.java",569,3,86,220,86,93,1,7,1,pos
File,"AsyncHttpClientConfigBean.java",184,2,34,47,34,37,1,3,1,pos
File,"AsyncHttpClientConfigDefaults.java",90,1,28,34,28,28,1,1,0,pos
File,"AsyncHttpClientConfigDefaults.java",81,1,25,31,25,25,1,1,0,pos
File,"AsyncMiddleManServletTest.java",1490,70,127,367,133,168,6,6,4,pos
File,"AtomPojoProviderTest.java",281,10,30,140,32,40,3,5,2,pos
File,"AtomicDoubleArray.java",102,1,14,44,21,24,4,4,2,pos
File,"Attachment.java",150,1,22,59,27,38,4,5,3,pos
File,"AttachmentDeserializer.java",293,1,18,97,32,72,5,10,4,pos
File,"AuditCheckMockMvcTests.java",709,7,28,321,28,29,1,2,1,pos
File,"AuditCheckMockMvcTests.java",679,7,26,304,26,29,1,3,2,pos
File,"AuthHeader.java",33,1,8,17,8,8,1,1,0,pos
File,"AuthToken.java",16,1,4,15,1,1,1,1,0,pos
File,"AuthenticationManager.java",810,4,56,284,116,191,13,17,4,pos
File,"AuthenticationProcessingFilter2.java",44,1,4,25,7,7,4,4,1,pos
File,"AuthenticatorBase.java",377,1,31,125,42,94,8,34,5,pos
File,"AuthenticatorBase.java",372,1,31,123,42,93,8,33,5,pos
File,"AuthenticatorBase.java",680,2,46,205,77,177,10,52,5,pos
File,"AuthenticatorBase.java",377,1,31,125,42,94,8,34,5,pos
File,"AuthenticatorBase.java",371,1,29,122,40,93,8,34,5,pos
File,"AuthorizationCodeProviderTests.java",13,1,1,8,1,1,1,1,0,pos
File,"AuthorizationEndpoint.java",402,1,25,152,35,78,5,12,3,pos
File,"AuthorizationEndpointTests.java",496,21,61,197,61,65,1,5,1,pos
File,"AuthorizationStrategy.java",83,3,18,47,16,19,1,4,1,pos
File,"AuthorizeRequestsTests.java",171,5,17,81,17,18,1,2,1,pos
File,"AuthzAuthenticationFilter.java",153,4,13,70,13,27,1,8,4,pos
File,"AuthzAuthenticationManager.java",179,2,15,81,20,32,4,12,3,pos
File,"AutoInitNioSSLTransport.java",157,1,13,47,21,37,9,12,4,pos
File,"AutoSslAuthTest.java",100,3,7,47,7,12,1,3,1,pos
File,"AutoTransportConnectionsTest.java",150,5,12,64,12,17,1,3,1,pos
File,"AutologinIT.java",251,1,8,111,8,16,1,5,2,pos
File,"AutologinIT.java",251,1,8,111,8,16,1,5,2,pos
File,"B2CConverter.java",116,3,17,45,20,30,4,8,4,pos
File,"BC.java",22,2,2,9,2,2,1,1,0,pos
File,"BCDHPublicKey.java",168,1,15,60,18,28,4,6,2,pos
File,"BCXMSSMTPrivateKey.java",143,1,13,59,15,20,3,4,2,pos
File,"BCXMSSPrivateKey.java",138,1,12,57,14,19,3,4,2,pos
File,"BCrypt.java",561,1,14,352,24,63,6,12,2,pos
File,"BEAStaxReaderTest.java",27,1,3,13,3,5,1,3,2,pos
File,"BZip2CompressorOutputStream.java",1263,2,41,345,116,269,38,46,20,pos
File,"BZip2CompressorOutputStream.java",844,2,35,243,51,162,9,24,5,pos
File,"BZip2CompressorOutputStream.java",838,2,35,236,51,162,9,24,5,pos
File,"BZip2CompressorOutputStream.java",838,2,35,236,51,162,9,24,5,pos
File,"BZip2CompressorOutputStream.java",838,2,35,236,51,162,9,24,5,pos
File,"BackendManager.java",262,2,25,87,31,57,5,6,2,pos
File,"BackendManager.java",258,2,25,87,32,55,6,6,2,pos
File,"BackendManagerTest.java",174,4,23,92,25,26,3,4,1,pos
File,"BaseUrlHelper.java",37,1,3,14,3,10,1,7,2,pos
File,"BaseUrlHelper.java",37,1,3,14,3,10,1,7,2,pos
File,"BaseUrlHelper.java",32,1,3,13,3,9,1,6,2,pos
File,"BaseWxPayResult.java",160,1,9,81,11,26,3,11,3,pos
File,"BcKeyStoreSpi.java",804,3,38,286,60,116,8,10,4,pos
File,"BeanDeserializerFactory.java",554,1,21,190,38,121,7,29,5,pos
File,"BeanDeserializerFactory.java",563,1,21,190,38,121,7,29,5,pos
File,"BeanDeserializerFactory.java",575,1,21,190,39,125,7,32,5,pos
File,"BeanDeserializerFactory.java",528,1,20,182,37,119,7,29,5,pos
File,"BeanSelectionProvider.java",183,2,11,69,11,28,1,10,5,pos
File,"BindingBeanNameUrlHandlerMapping.java",36,1,1,14,1,6,1,6,3,pos
File,"BlacklistClassResolver.java",41,1,6,13,9,13,4,4,3,pos
File,"BlacklistClassResolverTest.java",20,1,3,11,3,3,1,1,0,pos
File,"BlobStoreUtils.java",213,1,11,74,28,44,9,10,4,pos
File,"BlockSort.java",437,1,8,115,67,109,38,46,20,pos
File,"BlockSort.java",647,1,18,156,97,168,38,46,20,pos
File,"BlockSort.java",437,1,8,115,67,109,38,46,20,pos
File,"BlockSort.java",426,1,7,106,66,108,38,46,20,pos
File,"BlockSort.java",643,1,17,149,96,162,38,46,20,pos
File,"BlockSort.java",437,1,8,115,67,109,38,46,20,pos
File,"BlockSort.java",627,1,17,153,94,162,38,46,20,pos
File,"BlockSort.java",622,1,17,149,96,162,38,46,20,pos
File,"BlockSortTest.java",98,2,14,54,14,15,1,2,1,pos
File,"BlockSortTest.java",34,1,2,22,2,3,1,2,1,pos
File,"BlockSortTest.java",23,1,1,14,1,2,1,2,1,pos
File,"BootstrappingFunction.java",129,1,18,62,23,30,4,5,2,pos
File,"BourneShell.java",108,1,8,38,10,20,3,5,1,pos
File,"BourneShellTest.java",145,1,9,44,9,9,1,1,0,pos
File,"BroadcastUtils.java",26,1,5,10,5,5,1,1,0,pos
File,"BrokerFacadeSupport.java",167,1,18,99,19,28,3,3,2,pos
File,"BrokerTest.java",144,1,8,70,8,9,1,2,1,pos
File,"BrooklynSystemProperties.java",8,1,0,7,0,0,0,0,0,pos
File,"BshSerializationTest.java",21,1,2,12,2,2,1,1,0,pos
File,"BufferedInputFilter.java",61,1,7,21,7,13,1,3,2,pos
File,"BufferedInputFilter.java",63,1,8,22,8,14,1,3,2,pos
File,"BuildPublisherTest.java",44,1,2,24,2,2,1,1,0,pos
File,"BuildTrigger.java",241,5,30,104,38,59,7,7,4,pos
File,"BuildTriggerStepExecution.java",245,3,8,89,19,56,9,21,5,pos
File,"BuildTriggerStepTest.java",370,4,25,180,25,29,1,4,1,pos
File,"BuildTriggerTest.java",82,1,9,33,9,16,1,4,1,pos
File,"BundleStartXCommand.java",264,1,18,91,28,47,6,12,5,pos
File,"BundleSubmitXCommand.java",360,1,23,140,29,56,5,6,4,pos
File,"ByteChunk.java",480,3,58,135,109,152,5,11,3,pos
File,"CGIServlet.java",857,5,33,216,46,172,7,31,5,pos
File,"CIMInstance.java",383,1,27,133,50,99,12,33,8,pos
File,"CIMInstanceBuilder.java",46,1,8,19,8,8,1,1,0,pos
File,"CIMInstanceTest.java",588,1,24,219,24,25,1,2,1,pos
File,"CSRFHandlerImpl.java",133,1,11,55,15,27,5,11,2,pos
File,"CacheClientNotifier.java",1524,6,88,428,120,355,8,32,6,pos
File,"CacheClientProxy.java",1989,6,136,464,176,484,15,53,6,pos
File,"CacheManager.java",6,1,2,5,0,0,0,0,0,pos
File,"CachingMapper.java",36,1,4,13,7,7,4,4,2,pos
File,"Cas10TicketValidatorTests.java",42,1,5,20,5,7,1,2,1,pos
File,"Cas20ServiceTicketValidator.java",149,2,17,64,17,30,1,6,3,pos
File,"Cascadable.java",13,1,6,12,0,0,0,0,0,pos
File,"CascadableConstraintMappingContextImplBase.java",43,1,9,24,8,8,1,1,0,pos
File,"CascadingWithConstraintMappingTest.java",99,4,6,52,6,6,1,1,0,pos
File,"CassandraDaemon.java",399,5,17,94,19,78,4,37,3,pos
File,"CastorDataFormat.java",106,1,17,50,17,25,1,9,1,pos
File,"CastorDataFormat.java",75,1,12,38,12,17,1,6,1,pos
File,"CastorDataFormatConfiguration.java",49,1,12,24,12,12,1,1,0,pos
File,"CastorMarshaller.java",391,1,53,156,56,84,4,8,2,pos
File,"CastorUnmarshallerTests.java",192,3,21,88,21,21,1,1,0,pos
File,"CastorUnmarshallerTests.java",150,1,17,74,17,17,1,1,0,pos
File,"CatchAllFilter.java",44,1,4,26,4,6,1,2,1,pos
File,"Cause.java",250,8,41,106,40,67,1,6,3,pos
File,"CcmParser.java",112,1,8,36,14,22,3,6,2,pos
File,"CertificateChainCleaner.java",77,1,4,31,11,18,5,9,3,pos
File,"CertificateChainCleanerTest.java",149,1,9,78,9,11,1,2,1,pos
File,"CertificatePinner.java",118,2,12,48,18,30,4,7,2,pos
File,"ChangeLogLevelFunction.java",58,1,5,35,5,6,1,2,1,pos
File,"ChangeLogLevelFunction.java",66,1,6,41,6,7,1,2,1,pos
File,"ChangePasswordController.java",57,1,3,33,6,6,4,4,1,pos
File,"ChangePasswordIT.java",101,1,7,58,7,8,1,2,1,pos
File,"ChangePasswordIT.java",91,1,6,55,6,6,1,1,0,pos
File,"Channel.java",142,2,44,78,23,41,1,4,2,pos
File,"ChannelSecurityConfigurer.java",113,3,14,62,14,17,1,3,1,pos
File,"Channels.java",399,7,32,131,34,90,3,15,3,pos
File,"ChartPayload.java",36,1,5,15,5,5,1,1,0,pos
File,"CheckConfigTest.java",220,1,12,113,12,12,1,1,0,pos
File,"CheckTokenEndpointIntegrationTests.java",158,1,4,77,4,11,1,8,2,pos
File,"CheckTokenEndpointIntegrationTests.java",155,1,4,74,4,11,1,8,2,pos
File,"ChmDirectoryListingSet.java",187,1,19,57,23,38,3,10,3,pos
File,"ChmDirectoryListingSet.java",196,1,19,61,23,39,3,10,3,pos
File,"ChunkedInputFilter.java",270,1,14,71,26,72,10,28,4,pos
File,"ChunkedInputFilter.java",287,1,14,71,26,78,10,29,4,pos
File,"ChunkedInputFilter.java",313,1,17,78,29,82,10,29,4,pos
File,"CimCacheTest.java",70,1,3,36,3,3,1,1,0,pos
File,"CipherSpi.java",532,8,25,140,30,96,4,21,3,pos
File,"CipherText.java",400,2,43,118,51,104,5,11,3,pos
File,"CipherTextSerializer.java",244,1,15,91,17,30,3,11,2,pos
File,"ClassHierarchyHelper.java",66,1,6,25,10,14,3,5,2,pos
File,"ClassHierarchyHelperTest.java",40,4,6,26,4,4,1,1,0,pos
File,"ClassLoadingAwareObjectInputStream.java",104,1,5,23,30,44,20,32,3,pos
File,"ClassLoadingAwareObjectInputStream.java",142,1,8,34,34,57,20,32,4,pos
File,"ClientAdminEndpoints.java",564,1,47,228,52,114,4,20,5,pos
File,"ClientAdminEndpointsMockMvcTests.java",1167,2,54,458,56,121,3,14,3,pos
File,"ClientAuthenticationCache.java",78,2,7,36,10,15,4,4,2,pos
File,"ClientDataEncoder.java",9,1,3,7,0,0,0,0,0,pos
File,"ClientDataEncoderImpl.java",45,1,4,17,4,6,1,2,1,pos
File,"ClientDataSinkImpl.java",74,2,9,21,9,11,1,3,2,pos
File,"ClientExecuteFunctionAuthDUnitTest.java",70,1,9,44,9,9,1,1,0,pos
File,"ClientExporter.java",136,4,17,78,17,25,1,4,2,pos
File,"ClientExporter.java",136,4,17,78,17,25,1,4,2,pos
File,"ClientGmsImpl.java",251,1,17,49,31,77,15,38,6,pos
File,"ClientHttpRequestFactorySelector.java",102,4,10,50,13,18,4,4,2,pos
File,"ClientLockoutPolicyRetriever.java",19,1,3,12,3,4,1,2,0,pos
File,"ClientMarshallerBenchmarkTest.java",83,1,3,32,3,9,1,5,2,pos
File,"ClientRegistrationService.java",403,4,33,192,40,83,4,22,5,pos
File,"ClientXmlSecInInterceptor.java",21,1,2,14,2,2,1,1,0,pos
File,"ClientZookeeper.java",262,2,28,79,35,64,4,6,3,pos
File,"CloneTransformer.java",19,1,3,9,3,4,1,2,1,pos
