severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-03T17:57:05+0200		35.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""propagationTOs""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=35.0, endLine=35.0, startOffset=24.0, endOffset=38.0}	5min	AXMVa5xgkLspzIj1dBKu	3afdf85c274f34e62f776b5ce919ca6d	OPEN
MINOR	2020-07-03T17:57:05+0200		132.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""changePwdDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=132.0, endLine=132.0, startOffset=15.0, endOffset=28.0}	5min	AXMVa5xgkLspzIj1dBKo	ecac776fde38dd05d1aa122c6cf81578	OPEN
MINOR	2020-07-03T17:57:05+0200		136.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""creationDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=136.0, endLine=136.0, startOffset=15.0, endOffset=27.0}	5min	AXMVa5xgkLspzIj1dBKp	3676a19952ef23bd3eae5d9bfabbb036	OPEN
MINOR	2020-07-03T17:57:05+0200		144.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""lastLoginDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=144.0, endLine=144.0, startOffset=15.0, endOffset=28.0}	5min	AXMVa5xgkLspzIj1dBKq	a2ba7cc802454267478ed55085513417	OPEN
MINOR	2020-07-03T17:57:05+0200		148.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""changePwdDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=148.0, endLine=148.0, startOffset=29.0, endOffset=42.0}	5min	AXMVa5xgkLspzIj1dBKr	f36124055d323f20429b68bb8767e358	OPEN
MINOR	2020-07-03T17:57:05+0200		152.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""creationDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=152.0, endLine=152.0, startOffset=28.0, endOffset=40.0}	5min	AXMVa5xgkLspzIj1dBKs	1235c26cc444846bd591736113d11d1f	OPEN
MINOR	2020-07-03T17:57:05+0200		160.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""lastLoginDate""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1624/bac5e828fd81fc16122b60010ec9b42ee289b0bd/UserTO.java		default-organization	{startLine=160.0, endLine=160.0, startOffset=29.0, endOffset=42.0}	5min	AXMVa5xgkLspzIj1dBKt	7fab1d51f13d4080cabf4b648b1d7cd0	OPEN
CRITICAL	2020-07-03T17:57:05+0200		1232.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1627/1a0d15fd2e5b01d7e87185d378f717e98038d0e5/RuleModelDRLPersistenceImpl.java		default-organization	{startLine=1232.0, endLine=1232.0, startOffset=90.0, endOffset=97.0}	45min	AXMVa5y2kLspzIj1dBLA	15e1b2a4c704fba3b603302f2db5b606	OPEN
MINOR	2020-07-03T17:57:05+0200		239.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/DefaultStaticContentLoader.java		default-organization	{startLine=239.0, endLine=239.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vdkLspzIj1dBJ8	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		242.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining33/1632/78e853bcb32ea91b84a070b3d2dc03ab14bc6b23/DefaultStaticContentLoader.java		default-organization	{startLine=242.0, endLine=242.0, startOffset=18.0, endOffset=33.0}	10min	AXMVa5vdkLspzIj1dBJ9	2dc1665d31b37f9aa7408939a0365027	OPEN
